id,meal_name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,season,tag,allergen,createdAt,updatedAt
179,Salmon Grain Bowl,lunch,333.0,27.8,56.0,15.5,6.4,258.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
180,Beef Burrito Bowl,lunch,425.0,36.4,26.7,12.4,3.2,343.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
181,Turkey Sandwich,lunch,436.0,31.0,36.8,26.3,5.9,380.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
182,Tofu Buddha Bowl,lunch,510.0,48.6,41.7,10.4,6.1,427.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
183,Chickpea Bowl,lunch,312.0,41.4,37.6,12.3,9.0,153.0,all,recovery,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
184,Grilled Fish Plate,lunch,471.0,25.5,24.9,17.1,10.5,301.0,all,anti_inflammatory,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
185,Veggie Pasta,lunch,577.0,31.3,55.2,10.0,3.2,237.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
186,Chicken Rice Bowl,lunch,354.0,15.9,23.6,28.7,6.4,288.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
187,Grilled Chicken Salad,lunch,300.0,29.3,22.3,12.3,10.6,251.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
188,Paneer Salad,lunch,356.0,47.7,54.6,14.7,5.7,352.0,all,anti_inflammatory,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
189,Salmon Grain Bowl,lunch,340.0,41.9,36.2,18.4,5.6,262.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
190,Chickpea Bowl,lunch,574.0,19.8,54.4,9.4,9.3,231.0,all,muscle_gain,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
191,Turkey Sandwich,lunch,348.0,12.5,21.1,15.1,6.3,254.0,all,high_protein,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
192,Chickpea Bowl,lunch,440.0,49.7,57.8,21.3,9.9,344.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
193,Tofu Buddha Bowl,lunch,447.0,46.6,67.5,11.0,6.8,391.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
194,Veggie Pasta,lunch,332.0,38.2,23.1,26.8,5.6,416.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
195,Paneer Salad,lunch,478.0,47.6,68.7,10.5,8.4,344.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
196,Quinoa Veg Bowl,lunch,300.0,36.5,32.7,13.3,7.0,239.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
197,Chickpea Bowl,lunch,554.0,32.1,65.8,10.7,7.6,273.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
198,Quinoa Veg Bowl,lunch,616.0,46.6,23.8,8.7,8.1,273.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
199,Veggie Pasta,lunch,427.0,13.3,56.2,11.3,4.5,355.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
200,Chickpea Bowl,lunch,637.0,40.7,38.0,20.4,6.8,181.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
201,Grilled Chicken Salad,lunch,370.0,30.8,43.2,17.4,2.4,439.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
202,Grilled Fish Plate,lunch,623.0,49.4,20.5,11.7,11.6,433.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
203,Tofu Buddha Bowl,lunch,503.0,15.3,63.1,21.9,7.3,397.0,all,muscle_gain,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
204,Beef Burrito Bowl,lunch,650.0,47.7,58.4,26.7,6.0,412.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
205,Grilled Chicken Salad,lunch,351.0,42.6,48.9,25.0,4.0,364.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
206,Shrimp Rice Plate,lunch,561.0,47.3,20.2,27.3,3.7,357.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
207,Chicken Sweet Potato,dinner,362.0,32.5,20.4,12.9,9.6,162.0,all,high_protein,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
208,Lentil Curry,dinner,433.0,24.4,55.6,8.4,7.8,246.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
209,Tofu Veg Bowl,dinner,599.0,35.5,69.1,5.6,4.4,407.0,all,recovery,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
210,Lentil Curry,dinner,311.0,31.4,49.1,12.8,3.2,221.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
211,Grilled Salmon,dinner,552.0,47.1,35.1,9.5,7.0,323.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
212,Grilled Salmon,dinner,643.0,22.0,25.0,13.5,6.6,206.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
213,Tofu Veg Bowl,dinner,475.0,12.3,42.0,25.4,2.6,170.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
214,Paneer Curry,dinner,433.0,18.0,30.8,20.5,4.0,158.0,all,energy,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
215,Vegetable Curry,dinner,397.0,23.5,20.7,12.8,6.8,157.0,all,high_protein,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
216,Grilled Salmon,dinner,650.0,17.9,28.2,21.7,11.2,198.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
217,Tofu Veg Bowl,dinner,580.0,42.7,46.1,16.7,6.3,288.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
218,Fish Veg Plate,dinner,446.0,18.7,33.5,16.9,6.0,192.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
219,Veggie Fried Rice,dinner,550.0,48.6,38.9,14.1,11.9,416.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
220,Fish Veg Plate,dinner,623.0,12.0,36.5,23.7,8.0,383.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
221,Chicken Sweet Potato,dinner,428.0,31.5,53.0,28.1,6.1,270.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
222,Beef Veg Bowl,dinner,404.0,47.1,51.7,22.9,4.2,416.0,all,high_protein,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
223,Mushroom Pasta,dinner,360.0,30.8,41.1,12.7,7.9,180.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
224,Veggie Fried Rice,dinner,424.0,46.4,58.5,14.1,6.8,343.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
225,Chicken Sweet Potato,dinner,378.0,17.9,28.9,8.2,9.3,441.0,all,anti_inflammatory,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
226,Mushroom Pasta,dinner,306.0,37.3,67.2,12.0,5.7,366.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
227,Baked Cod,dinner,637.0,32.0,42.2,21.6,7.3,212.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
228,Chicken Stir Fry,dinner,382.0,39.6,20.6,29.2,10.1,337.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
229,Chickpea Spinach Stew,dinner,583.0,42.5,51.4,28.4,4.5,373.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
230,Baked Cod,dinner,332.0,47.5,50.7,22.2,2.7,287.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
231,Baked Cod,dinner,597.0,48.7,21.5,24.5,11.7,408.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
232,Chickpea Spinach Stew,dinner,330.0,20.0,64.6,5.7,7.6,244.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
233,Chickpea Spinach Stew,dinner,559.0,22.4,24.8,12.7,11.6,243.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
234,Fish Veg Plate,dinner,578.0,35.4,40.1,26.8,10.6,313.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
235,Lentil Curry,dinner,433.0,47.7,24.7,23.8,10.9,196.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
236,Beef Veg Bowl,dinner,312.0,17.0,42.6,9.1,9.9,246.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
237,Veggie Fried Rice,dinner,422.0,38.6,41.9,17.7,4.2,267.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
238,Grilled Salmon,dinner,336.0,38.5,54.1,11.1,10.7,391.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
239,Chickpea Spinach Stew,dinner,544.0,39.4,26.5,27.8,6.7,162.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
240,Baked Cod,dinner,545.0,17.5,59.1,26.4,6.1,216.0,all,anti_inflammatory,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
241,Tofu Veg Bowl,dinner,637.0,46.2,32.7,12.1,11.9,375.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
242,Fish Veg Plate,dinner,462.0,48.3,54.9,20.9,7.4,282.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
243,Beef Veg Bowl,dinner,307.0,26.4,60.4,25.4,6.0,343.0,all,anti_inflammatory,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
244,Paneer Curry,dinner,558.0,18.8,37.7,15.2,2.5,355.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
245,Paneer Curry,dinner,447.0,16.8,41.9,16.1,6.0,339.0,all,high_protein,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
246,Mushroom Pasta,dinner,500.0,38.6,62.6,14.0,3.9,255.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
247,Chicken Stir Fry,dinner,642.0,46.4,65.2,5.1,10.2,412.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
248,Lentil Curry,dinner,396.0,31.8,61.8,19.9,4.1,335.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
249,Paneer Curry,dinner,359.0,24.0,39.3,7.2,4.0,348.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
250,Turkey Meatballs,dinner,406.0,33.5,52.1,19.7,9.7,208.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
251,Paneer Curry,dinner,491.0,39.6,42.3,13.5,4.5,434.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
252,Chicken Stir Fry,dinner,303.0,24.3,30.1,7.1,7.5,207.0,all,energy,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
253,Paneer Curry,dinner,473.0,17.1,42.5,9.9,5.9,357.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
254,Grilled Salmon,dinner,300.0,13.2,66.8,11.8,8.0,309.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
255,Lentil Curry,dinner,513.0,31.2,54.6,22.6,5.2,417.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
256,Grilled Salmon,dinner,582.0,15.6,62.0,8.8,7.3,398.0,all,muscle_gain,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
257,Tofu Veg Bowl,dinner,311.0,49.8,33.2,25.5,3.8,369.0,all,anti_inflammatory,,2026-03-05 16:49:56,2026-03-05 16:49:56
258,Veggie Fried Rice,dinner,386.0,31.0,34.8,20.5,11.4,394.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
259,Fish Veg Plate,dinner,379.0,33.3,34.5,19.4,5.4,345.0,all,energy,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
260,Grilled Salmon,dinner,442.0,49.0,55.5,20.4,7.1,194.0,all,high_protein,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
261,Baked Cod,dinner,639.0,38.0,33.7,15.7,2.9,381.0,all,muscle_gain,,2026-03-05 16:49:56,2026-03-05 16:49:56
262,Mushroom Pasta,dinner,582.0,43.3,25.9,10.9,9.2,189.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
263,Grilled Chicken Quinoa,dinner,572.0,18.0,58.1,13.8,6.5,394.0,all,muscle_gain,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
264,Turkey Meatballs,dinner,323.0,46.8,35.8,6.8,3.8,407.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
265,Paneer Curry,dinner,455.0,42.9,36.4,14.7,11.5,395.0,all,energy,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
266,Chicken Sweet Potato,dinner,366.0,18.3,56.1,20.5,9.2,172.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
267,Mushroom Pasta,dinner,587.0,35.6,29.6,29.0,2.0,150.0,all,energy,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
268,Chicken Sweet Potato,dinner,312.0,41.2,61.2,12.7,8.9,178.0,all,recovery,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
269,Chickpea Spinach Stew,dinner,304.0,31.3,51.7,16.6,9.9,159.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
270,Paneer Curry,dinner,642.0,38.5,56.6,24.8,5.8,365.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
271,Chickpea Spinach Stew,dinner,508.0,33.3,53.2,29.3,2.6,225.0,all,energy,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
272,Tofu Veg Bowl,dinner,609.0,47.1,66.2,14.8,8.2,343.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
273,Tofu Veg Bowl,dinner,335.0,34.4,48.3,11.6,6.7,446.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
274,Grilled Chicken Quinoa,dinner,642.0,35.6,26.4,27.4,11.5,165.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
275,Grilled Salmon,dinner,319.0,21.8,44.1,21.0,9.9,264.0,all,energy,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
276,Baked Cod,dinner,496.0,44.5,49.5,19.9,5.9,200.0,all,high_protein,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
277,Chickpea Spinach Stew,dinner,303.0,26.9,57.6,28.6,7.7,160.0,all,high_protein,,2026-03-05 16:49:56,2026-03-05 16:49:56
278,Turkey Meatballs,dinner,543.0,24.6,43.0,8.0,9.7,251.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
279,Chicken Stir Fry,dinner,387.0,35.6,27.7,19.8,9.6,403.0,all,recovery,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
280,Grilled Chicken Quinoa,dinner,503.0,41.4,25.3,15.9,10.4,327.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
281,Chicken Sweet Potato,dinner,641.0,17.8,26.6,19.4,7.4,189.0,all,energy,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
282,Paneer Curry,dinner,415.0,24.5,26.4,14.3,7.0,421.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
283,Grilled Salmon,dinner,583.0,44.7,51.3,22.7,8.9,289.0,all,high_protein,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
284,Chicken Stir Fry,dinner,418.0,28.9,44.6,27.4,5.0,218.0,all,muscle_gain,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
285,Paneer Curry,dinner,520.0,22.0,65.9,26.1,2.7,343.0,all,recovery,,2026-03-05 16:49:56,2026-03-05 16:49:56
286,Vegetable Curry,dinner,549.0,19.2,61.6,7.2,4.9,409.0,all,anti_inflammatory,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
287,Vegetable Curry,dinner,522.0,24.9,27.4,23.4,9.4,431.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
288,Tofu Veg Bowl,dinner,335.0,49.6,68.0,27.1,8.7,415.0,all,recovery,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
289,Paneer Curry,dinner,622.0,19.1,54.2,23.4,8.9,294.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
290,Baked Cod,dinner,378.0,37.3,24.2,11.4,7.2,430.0,all,anti_inflammatory,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
291,Chicken Sweet Potato,dinner,536.0,44.6,52.4,16.5,4.0,205.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
292,Veggie Fried Rice,dinner,387.0,30.9,21.7,12.3,11.8,332.0,all,high_protein,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
293,Beef Veg Bowl,dinner,312.0,28.8,27.5,25.8,5.4,185.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
294,Tofu Veg Bowl,dinner,596.0,19.1,58.8,22.1,11.4,316.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
295,Grilled Salmon,dinner,505.0,18.0,52.9,29.4,4.7,349.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
296,Veggie Fried Rice,dinner,599.0,46.8,62.6,8.1,6.5,321.0,all,energy,milk,2026-03-05 16:49:56,2026-03-05 16:49:56
297,Grilled Chicken Quinoa,dinner,463.0,15.5,66.4,21.7,2.8,170.0,all,recovery,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
298,Beef Veg Bowl,dinner,446.0,16.7,67.2,28.3,2.6,211.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
299,Chickpea Spinach Stew,dinner,469.0,14.2,23.5,26.0,6.7,292.0,all,recovery,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
300,Baked Cod,dinner,591.0,31.1,54.6,28.0,7.8,192.0,all,muscle_gain,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
301,Turkey Meatballs,dinner,631.0,27.5,41.5,13.7,11.9,371.0,all,muscle_gain,fish,2026-03-05 16:49:56,2026-03-05 16:49:56
302,Paneer Curry,dinner,542.0,15.5,44.6,13.2,9.4,439.0,all,high_protein,soy,2026-03-05 16:49:56,2026-03-05 16:49:56
303,Tofu Veg Bowl,dinner,318.0,42.4,57.5,7.6,2.2,337.0,all,anti_inflammatory,peanut,2026-03-05 16:49:56,2026-03-05 16:49:56
304,Grilled Salmon,dinner,566.0,15.2,49.1,20.8,2.3,416.0,all,anti_inflammatory,egg,2026-03-05 16:49:56,2026-03-05 16:49:56
305,Tofu Veg Bowl,dinner,385.0,25.2,44.6,8.6,8.5,315.0,all,energy,,2026-03-05 16:49:56,2026-03-05 16:49:56
306,Paneer Curry,dinner,578.0,37.7,47.9,8.0,6.2,395.0,all,muscle_gain,wheat,2026-03-05 16:49:56,2026-03-05 16:49:56
